Sample Antivirus Program Log.
Created On: 08/12/2018

Directory: E:\Xcluded\Samples
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\41cdd899e19247379e71bd4de6d7e5ef
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\7fe83ebfcd6744c7a010f05f2849c6bd
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\1dc5ef04cee34cf0b6f8200d4892a62e
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\7e7386e76ac3404395989a65fa38cd4f
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\02761b11fe3f418d812ce43c5e63e340
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\e0d54b6d2cd44c8f8ef9f87c3bb9f2cd
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\31df6ce766074ee1ad170658e911d59e
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\1a6b5974a6224ca9bcfd077619c57bde
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\60b9b3e09f4a4cd98bc9973f811092af
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\41e43d5b60534262a6b4aebbaabd9092
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\3eddfbf0b200413bafba8379c5a86874
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\423d9ee0a8ac4fd3979dde2b42490617
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\a056b2737abd4167b801a117bb382ba2
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\d99e903f7f8a418aa3018dcce33391d9
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\01f58b54883b4de687dd9925d99a034a
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\a803805a370d4edf8922253abfc091c9
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\045e9d5307a34419ab17eae0b1f84732
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\5ebd6dcb1c944483992eaaf04fae39d0
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\2e752af15ce34798a10d9486b589caf7
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\156921e309c8446caa458b0031517628
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\d32aa1bd3eea4df5a35359d44f24e029
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\b9f1d9d09e714b1da5b528f3d7e93821
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\9175e3c298844745b06c9b308645f59d
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\f0a8b88a51b14bce854fd88d227cc82d
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\b55becb40b7f417c9127c938b297a3aa
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\e4d2f41eb1f94032bc430e55be4435f0
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\a70ca68e69884dbabfa9e9db112f0649
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\0025839339644eed96fe7aa3fcb61cb9
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\4a34379c8325407788e2b439afe75ab0
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\18d53817a0ce416990e8c2d41503142b
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\6ee0e22247384eca845cef9a559e9e1e
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\6b407a01aacf47e0ba59e711c51aa8fd
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\88dfb826399c4fc8834ddf2eb985044b
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\8f1de64d185341d3a66bd9881383c2ae
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\1389239b6ac74928bc96b07113943ebd
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\326a2860e2df4705bce4a475ce1b8fc4
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\04ddab4315534a6da932d9f786d6cb20
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\feb61be934514ef5846ae7a543870439
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\04581e8a7aa940e488db8f1b0c189af7
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\7f73533b64734f568e4ae18af5c1c448
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\3260e8cfe72d40a6ba48f27747c9c794
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\b69e31dd87e340a3abb58a1b528f71bd
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\90e36c1286394e81a18479e49f188215
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\cc7d988eb8a940a1b5e1769aa67ddea8
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\20068d56b348415a916b9a6c5dc7e3ca
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\d36a427acfaa49caaaa679cc38f76f45
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\7e193c7de22e4d03810539a51bbf9f11
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\96233bd6336145bd973b518bf65baf6e
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\7ac97a111e4a436eb639b48472fd428e
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\cd5b60ae9c674a82b1b02fbcac4d8314
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\38a11f9bea1d445f8e4481d2d4212c3e
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\c9dbeac9aae943ceb7581e89edb63d87
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\98b8faa96f7b4c68815ce1e1f31e85b8
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\1c58788f0560477686ce6ece299bdedb
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\5349ac865cfb48f3bb8a75234fcc0c4c
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\0d98110ee854405794f41e1103941ebc
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\7fae427b5a374ea584ff3cd505bc8d2e
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\edf28c60212745b4afbeb82bea9e1409
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\d2fd94da883143db8032f32020c45884
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\f916f290a4974c329cbc8f4e1cf40701
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\397a4da4e0a34173a85ab4a47f56163d
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\a6542b4019184283a9d351caa2aad902
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\c43906cfbf90425a83ee7181281ebf80
Infected: Win.Adware.SupTab

Scanning: E:\Xcluded\Samples\c015be35b19c4160b8af8e5afb31d8e6
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\5c0d7b6bde47410c8fca53feccff2565
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\b0597802e2a0464eb5b1b35187725c2e
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\23ecefe8041b496ab1308872c2a3c5a1
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\62a8a65008bc4a0b92b9112713df33aa
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\5dd6471a717149caaa575769708a2943
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\241924b224da407b99ca1e79ba88c0c2
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\b56ae1ed30b74031a19b90bc2cf12293
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\82253ae5a6834fc4a6bbe61deb36fd98
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\10dc97e3ee1c470a83019ab1395ac40e
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\8978a18571e448319f3dfd32ee939a42
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\5e1edd8d97874dc7b97d059051a5328a
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\869e8105c4924e54a3a5dba9895902f1
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\771fac6c39ea4947b52ae5351c2b5399
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\e505c6c072624d7d839d81686fde787b
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\2abbc2bde7924a7289de52c4e0bba28e
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\70d3b29437fd45d1b1a735bfd9452524
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\28954c937f0d433eb65a46b763af201b
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\f8153ba3776f4755a848fc9611becd75
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\ba0753896c5247faa173c55c9fa6d7a9
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\13dfeb2142cb41058d06043041970136
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\9cbc7d0670fa4e638a5dac635a76c962
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\b1f0e7ad57614db2a2d2302b1c53b70b
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\a32d2a8419924a2895eb420a40a26557
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\63bb200bfadf46c88ada5e1ecfa2eb84
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\26b98890852849e198ce161043de09ea
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\81f42cc1808940968b3b0c8d73d62688
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\c256ea730301451eae2193c838ebb5fb
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\aced5d96d5924beb836292ddf86b9ae1
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\ec04178f037b4a98875c7cfa8675e423
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\9b232a6612fb4d61a666f9bf63159090
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\a35a048551fb495185aa73abe8b3ac69
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\7bfc0fff353d4d16840b44fe69f54580
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\b24a57a46c35449a925bf652fac29e26
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\9dfbd8785f984a3faa108c2c81172bf6
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\21a350257eab43968e226410d587e58d
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\a165b82e125845dea13ea4c75a638d21
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\c3fd3f4625634884a0c0f471d54bf922
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\2592232c5b1c443e83741ec219f0fc67
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\e48865d870a64ebf8ca953a0cd876389
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\73748c5f064740d1aec2b9471dc822a8
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\75daab455746447aa32cb14f42cf1362
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\0647f52403b142d48095b728d05f5a03
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\553b44a0532e4c99abd3bfcd2de8486e
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\a7581514715a49e5afe8aa3b31357f41
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\11a90371dd9e4be6a6f46d401059099b
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\653f04337e9d4e74bdb5de0a5d008922
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\93b6e95c5a194c8590b552938022e2ce
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\685f7d58cfa84f9d914b29a077dcbe87
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\ed0825f57b7343d4814825baea40bccd
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\c3e74438f9344f90ae5fc6e4e084c228
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\075630f8ccf74ff082336cfca94aaeb2
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\5608a5df62064331820bb8a3d09acd19
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\7af221920497458caab141b05bc4a895
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\085244d671574a6eaca9f325e4bdcf0f
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\cb215aa670b640d9a5a1c7183147e32e
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\2fbb1075a5ae45c6a43a73a5d5e81f23
Infected: Trojan-PWS.Win32.Kykymber

Scanning: E:\Xcluded\Samples\9ab3c76f838d4407a61c65dc220f6866
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\5baba6907f62471198864791c0bd42df
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\36a2dc05df0f47fbba9bdcaad7a4fb9b
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\c5f21d4321174208bb4fc856ecb9941f
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\d886a2117a434d878a840a02c3395ea5
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\33ecd23a8a2a44da8210a2d53fe4b2dd
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\322a6ae9b1f742dd9b9a18bbc4b13839
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\5cfa6b1045cf4c3696b773e6f18942f8
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\7dcfc739fecb4df8a23b0d0468a69ecd
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\9c7463eb4f64401a9204d6ca1db36c86
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\ed4efd86423d4db587d01e7276293f2f
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\82ab7034a3874d68ae7b9ea8328f382b
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\304c7cc2ee3845728eea35b28fcfad7a
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\2ab562bca08945f6882b5f4006c67ddd
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\8da1aeb510584c2f9cfba3bec28397a3
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\367131772f754306a2e774415705d851
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\3da24f6cbe4045ff8d8168f904c16b13
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\318516b044ab4e7eabec0d9c2dd4fa40
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\56e19bcb9791430b97e2ab137f33bbdf
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\6fb55b76e8864f99a1d34904ef0e3aef
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\1e0b71fbc81742e6a129fa1a1a58f222
Infected: Win32.Madang.C

Scanning: E:\Xcluded\Samples\0275a60dbf7a427497609370a35720fc
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\6a591d2dd1af452abd756c561ddb5a13
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\3dff209540c649efa0bc034d56275296
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\5857c691209e46d5b96ab2068ec559ac
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\cc4d609940c949f28f0f987fd9a492a2
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\7fac55183ab04dfaa82d984ca0da2889
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\3686184921954451be909e2bc26566f1
Infected: ADWARE/Adware.Gen

Scanning: E:\Xcluded\Samples\107be9b8bb0d4af4a0096ad5d4fd9f53
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\1625db535e8c44c6b416819741333855
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\0d716be86d2547f79ef326fe08f155cc
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\371edc8b47844a95ac6ea39c876e9255
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\d5887637726d4da4b6bd1e0896f6bd70
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\f2315d58360341fb92a40b8c46a0ea0a
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\fa7ce21fc8424b24ba5a37b9ae27437d
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\d1b6472bf269449185a72c3ea9ae0692
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\e79cc8f8d0f94e68a57b948f3d5191f3
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\08563ef493b14e308312da632c907f1d
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\528353dd9027439cacb411024367caa1
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\dc8223a38d8b4cc18a8737a98575200b
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\4e172cd0700b4c6da16b0569c25592fc
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\f7e0e100065a4969ace1dda273ca8a47
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\e29a3eb84aae46ccb464775e8cca0599
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\2d993acdd6394fca97c0e119e3ec72de
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\ffe1c9ebee9c4b44a545165507bb90ea
Infected: Troj/Keygen-DX

Scanning: E:\Xcluded\Samples\2970ef9eb7fd432b8258ddd9a80b6210
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\9e29e1ca8cd24936844169444f2f3dd7
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\20d0dd46a8df4428abde6accbb3d6687
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\5e244fd587d64f1c81ee982b03e077e1
Infected: Riskware/MyWebSearch

Scanning: E:\Xcluded\Samples\fb6334efd4224e689366d5894676129f
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\2293aee674994fae85f2ecb3bfe3ab3f
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\5376324975a846e786c838be2d85c183
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\9b04d432ec3f4ea28ad70e413379121a
Infected: PUP.Win32.MindSpark.F

Scanning: E:\Xcluded\Samples\7674faf4fd284223992b61e92b4d0769
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\0ed4ec7323684ac998caa86bd710bdbc
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\6494c43eb10849608ead6ef256bfbbbe
Infected: Trojan.GenericKD.30788163 (B)

Scanning: E:\Xcluded\Samples\ea098c44c3cb47278728da10534d9238
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\a7030e1379274da88144843ac0431d2d
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\d130d1a64d2443d3bc563f104750f09c
Infected: Trojan/Win32.SGeneric

Scanning: E:\Xcluded\Samples\a49b4f14f8b14990949509f980b8601b
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\eecc0f2d663445718e98ab1b25a9e00f
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\65da2d1f1b984d1a9f154c70da2d8db5
Infected: virus_nameAdWare.Agent

Scanning: E:\Xcluded\Samples\c5f9c485f50c4cdd85edcdc543949166
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\cd39b8f05fd94b809e2347662fd1853d
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\f6070b4fdc9c4625999061312ae3dc24
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\754e378319ae4f01aa7f9e1ff5fd4bf6
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\38429db65b5c448b82936bd52cd25c98
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\86b2578d7ca94068b290a3b0cc2b9d2a
Infected: Trojan.Mauvasie

Scanning: E:\Xcluded\Samples\f237ab499415457eb920e9d9026dac55
Infected: Gandcrab.Ransomware

Scanning: E:\Xcluded\Samples\96b5121e841447f89d2a7f0b3c254111
Infected: Virus/Win32.Nimnul.a

Scanning: E:\Xcluded\Samples\876d3c08d5fe4edea9efef7912b74a69
Infected: MyPCBackup.E.foha

Scanning: E:\Xcluded\Samples\3533985fb9fe4d668144e3574f155e80
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\ae72fa1a449a4e74ac336a9a37463c4a
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\798e1da03ccb46c3887d557bc8d84770
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\1ffe75bda0be488c867df1afafbbf8b6
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\8201d983ba8848729f6717703a980470
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\2ca67d0a17ca4237953386fe5babff94
Infected: Adware.SearchProtect.2

Scanning: E:\Xcluded\Samples\96f5b5fe635e44518406c9e433db6485
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\590fac341b0d444ba38cc70390812ae5
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\d54770383f7b439fab0bccadbcd2da5c
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\687a1091b19b4746b7ef5d7a198f0275
Infected: Trojan/Win32.Agent

Scanning: E:\Xcluded\Samples\a8a368578caf4fe694b06b3c0697e1bf
Infected: Riskware.Win32.FunWeb.dbxkle

Scanning: E:\Xcluded\Samples\2a6ba7a0420941a180db87caefebbc8d
Infected: W64/Trojan.ZEDZ-3398

Scanning: E:\Xcluded\Samples\f18f25bf187e4140a8a61d890d1fbda0
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\af23dc7d4ecc408ab3c5d891a4e6c43b
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\613f310d08254e8aa1f05058a70ba76b
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\5ece2579736242a0bfe9321cc1ef3c4b
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\1fe37942e9bb46c0827a2c83512810e8
Infected: Trojan.GenericKD.30788163

Scanning: E:\Xcluded\Samples\491bd10396664b21821dbdeb3109a10a
Infected: Trojan.ADRD

Scanning: E:\Xcluded\Samples\43e7c969898849db89fb553fc5a92d9a
Infected: Application.Agent.HN

Scanning: E:\Xcluded\Samples\a20af69bcc6c44249d3b13b8a8727566
Infected: Hacktool.IdleKMS.C.gfky

Scanning: E:\Xcluded\Samples\1e54c6a513874fb583ea30284cf78fd1
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\1fe179ee9d6e4a268e5c3bada6511894
Infected: ADWARE/InstallRex.Q

Scanning: E:\Xcluded\Samples\c4da13d1780b482f9f92c9babbe2e6b5
Infected: Trojan/Win32.Bladabindi

Scanning: E:\Xcluded\Samples\f61068cc02644acfaaac462edcd5e894
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\e754337c1da84289925ce32d2c114156
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\6cb501c4c25f4bab84f97e8c6345e01e
Infected: Malware@#24l1bmprvk8x

Scanning: E:\Xcluded\Samples\e94dab9787284af0be7a77b560d4b657
Infected: TR/Winsecsrv.Gen

Scanning: E:\Xcluded\Samples\f6d3749920e74c62a7272ee8fa2cd3db
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\9aa3456e42af4d11bd180d5f8cb44aa7
Infected: Trojan.Miner.ZZ2

Scanning: E:\Xcluded\Samples\88a9f770d98c46ecad79eb9dc4cdd229
Infected: Adware.MAC.OSX.Genieo.BU

Scanning: E:\Xcluded\Samples\6cd66ab7c7344b68aa6b672f57fdf83c
Infected: Adware.SearchProtect.ky.tmre

Scanning: E:\Xcluded\Samples\6ea2e57fd27f452395809a5983f05a7e
Infected: Skodna.Bundle.BD

Scanning: E:\Xcluded\Samples\1eeb47ad71b04cc38a79e4822da1905b
Infected: JS/Exploit-Blacole.jf

Scanning: E:\Xcluded\Samples\30f0980e17ab44d9b049b3047a180e65
Infected: Adware.WProtManager.Win32.21

Scanning: E:\Xcluded\Samples\2d851f1b9c1145b0931af5d40091b22c
Infected: Adware.Win32.Agent

Scanning: E:\Xcluded\Samples\8fd45fbed5f54713a672ccc386001e9f
Infected: Trojan.DR.Diple.Gen.4

Scanning: E:\Xcluded\Samples\5e07607a3879483db93f311728d73358
Infected: Script/Exploit.Kit

Scanning: E:\Xcluded\Samples\f0f417ac756b4339bf3c665cded3b004
Infected: Adware/Agent.lmx	

Scanning: E:\Xcluded\Samples\1d4282a3fdda4f01b759f8c407aac235
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\251bd07001b04864aed33d26d70aa605
Infected: Win32/Expiro4.Gen

Scanning: E:\Xcluded\Samples\11782e97596b47a895b4411c461a2426
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\8f49db4a5d364be796282a1aebc59a16
Infected: Adware.Suptab.Aq	

Scanning: E:\Xcluded\Samples\ed8180bd3c3e483ea207699c28043f40
Infected: Hacktool.IdleKMS.C.gfky

